,antecedents,consequents
0,212793,"[1733907, 474516]"
1,451878,"[1529157, 1765806]"
2,464835,"[1784328, 1789242]"
3,475671,"[487242, 463155]"
4,477897,"[1012074, 472563]"
5,1775256,"[478401, 463722]"
6,1786029,"[446985, 1732122]"
7,212835,"[1528779, 1732164]"
8,445851,"[454083, 468804]"
9,467187,"[465696, 1774689]"
10,473319,"[1894200, 474054]"
11,490728,"[464289, 488061]"
12,315756,"[1776516, 1011948]"
13,436317,"[464289, 488061]"
14,462609,"[466431, 755244]"
15,469308,"[443268, 494844]"
16,315819,"[449085, 464142]"
17,358764,"[434385, 480207]"
18,486948,"[442218, 486759]"
19,316176,"[1890273, 445872]"
20,466116,"[491778, 489762]"
21,477120,"[1771875, 493479]"
22,1788150,"[1764609, 477477]"
23,457254,"[471849, 783867]"
24,340935,"[1894200, 475545]"
25,457821,"[480480, 445095]"
26,464457,"[462609, 463428]"
27,755013,"[466347, 463596]"
28,1777839,"[459417, 466893]"
29,1785819,"[1764672, 460194]"
30,341418,"[463365, 459291]"
31,464373,"[480249, 1789179]"
32,487179,"[480186, 484554]"
33,488607,"[341418, 487179]"
34,486717,"[469560, 1893675]"
35,357063,"[479535, 444423]"
36,489678,"[493353, 473214]"
37,462588,"[467229, 466683]"
38,357252,"[445284, 444318]"
39,465213,"[474243, 1778532]"
40,465255,"[474600, 459354]"
41,468846,"[455322, 444507]"
42,474810,"[487389, 471198]"
43,482055,"[469560, 455049]"
44,487137,"[1783320, 481803]"
45,490329,"[462588, 357252]"
46,1780716,"[447888, 460509]"
47,432936,"[489132, 469014]"
48,432915,"[457590, 1788759]"
49,454188,"[454041, 482580]"
50,478191,"[487074, 476238]"
51,433713,"[471765, 1775949]"
52,464079,"[472542, 998823]"
53,477519,"[463617, 464541]"
54,477918,"[444801, 1785819]"
55,478611,"[463617, 475083]"
56,436170,"[441042, 443772]"
57,433818,"[479178, 1788717]"
58,1470147,"[471954, 466347]"
59,435393,"[467208, 1890273]"
60,433965,"[1528842, 467229]"
61,459648,"[455784, 461643]"
62,475293,"[480165, 1787583]"
63,476574,"[435414, 465654]"
64,479115,"[482538, 1784811]"
65,491904,"[1785672, 488523]"
66,434049,"[470820, 1787079]"
67,1779855,"[487977, 484869]"
68,476049,"[469434, 487179]"
69,434196,"[483147, 468846]"
70,476637,"[478128, 461622]"
71,434217,"[1784937, 477267]"
72,460845,"[460593, 492219]"
73,465087,"[465465, 1777125]"
74,468174,"[462483, 479451]"
75,1769271,"[475524, 1777125]"
76,1891239,"[495201, 1781388]"
77,1894494,"[459417, 466893]"
78,434259,"[476091, 487893]"
79,461580,"[435834, 468762]"
80,471954,"[1496670, 1470147]"
81,474915,"[357252, 463365]"
82,490077,"[474915, 461580]"
83,491484,"[1780632, 477246]"
84,434364,"[458430, 455175]"
85,455175,"[1892730, 1893948]"
86,458430,"[473634, 473235]"
87,434385,"[471597, 1781199]"
88,451185,"[435225, 477330]"
89,456729,"[316176, 471114]"
90,457233,"[475041, 460068]"
91,460068,"[1894200, 1783824]"
92,475041,"[445032, 471849]"
93,475881,"[466137, 357798]"
94,477435,"[488775, 1890378]"
95,478317,"[475041, 460068]"
96,434952,"[1786281, 754341]"
97,1011948,"[1776516, 315756]"
98,1775928,"[465381, 459207]"
99,434973,"[1785798, 476679]"
100,1784538,"[487200, 476070]"
101,435036,"[454083, 468804]"
102,456666,"[999180, 470862]"
103,443541,"[456834, 451164]"
104,435078,"[470904, 1734138]"
105,452697,"[1764672, 482643]"
106,458472,"[444465, 1890378]"
107,465192,"[484554, 475692]"
108,467376,"[470043, 435078]"
109,470043,"[454818, 445095]"
110,472605,"[482958, -1]"
111,477603,"[1892772, 755181]"
112,479157,"[470463, 1783971]"
113,487557,"[469623, 435078]"
114,435099,"[475251, 340599]"
115,445431,"[486591, 465759]"
116,461412,"[475209, 998739]"
117,435225,"[451185, 477330]"
118,475230,"[476658, 480942]"
119,488754,"[485184, 457863]"
120,1011927,"[466032, 461706]"
121,1529157,"[451878, 1765806]"
122,1784769,"[460635, 448980]"
123,477162,"[476028, 444276]"
124,1786281,"[434952, 754341]"
125,450723,"[999180, 435750]"
126,435750,"[461601, 1771875]"
127,999180,"[456036, 470799]"
128,435771,"[487116, 473613]"
129,459669,"[495201, 1781388]"
130,465402,"[486822, 450366]"
131,476217,"[473529, 484764]"
132,436002,"[460236, 465654]"
133,473550,"[490770, 436002]"
134,490770,"[485184, 443646]"
135,436233,"[468132, 464541]"
136,442281,"[475209, 468993]"
137,487620,"[315756, 1787604]"
138,455259,"[443877, 445557]"
139,436380,"[459291, 477351]"
140,457989,"[489321, 1732122]"
141,466788,"[1783929, 469938]"
142,437766,"[478128, 476637]"
143,475566,"[479136, 445452]"
144,437976,"[1787079, 474222]"
145,440916,"[460551, 1784391]"
146,469686,"[1890336, 473634]"
147,471870,"[444675, 464814]"
